Spot / Vendor,Type
Mini Zoo Kota Kijang - Bintan,"['Aktivitas Luar Ruangan (30)', 'Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']"
Bintan T3 - Bintan,"['Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']"
Langlang Laut Sakti - Bintan,"['Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']"
Vicka Liu - Bintan,"['Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']"
Amanah Transporter 328 - Bintan,"['Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']"
Warrior Fitclub - Bintan,"['Aktivitas Luar Ruangan (30)', 'Kursus & Sanggar (1)']"
Bintan Taxi - Bintan,['Transportasi (21)']
Suria Septia Rent Car - Bintan,['Transportasi (21)']
Bintan Private Driver - Bintan,['Transportasi (21)']
Fio Bintan Taxi - Bintan,['Transportasi (21)']
Taxi Service Bintan - Bintan,['Transportasi (21)']
Suriaseptia Rental Mobil Tanjung Pinang - Bintan,['Transportasi (21)']
Travel Tours & Rent Cars Bintan - Bintan,['Transportasi (21)']
Transportasi Tanjung Pinang - Bintan,['Transportasi (21)']
Bintan Transport - Bintan,['Transportasi (21)']
Taxi Bandara Bintan - Bintan,['Transportasi (21)']
RG Travel - Bintan,['Transportasi (21)']
500 Lohan Temple - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']"
Vihara Avalokitesvara Graha - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']"
Gurun Pasir Bintan - Bintan,"['Pemandangan & Tengara (16)', 'Cocok untuk Pasangan (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Tempat yang Belum Populer (3)']"
Gereja Katolik Kristus Raja - Bintan,['Pemandangan & Tengara (16)']
Grotto Santa Maria - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)', 'Tempat yang Belum Populer (3)']"
Wihara Pohon Banyan - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)']"
Jalan Utama - Bintan,"['Pemandangan & Tengara (16)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']"
Bintan Eco Farm - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']"
Masjid Raya Sultan Riau - Bintan,['Pemandangan & Tengara (16)']
Kampung Nelayan Cina Senggarang - Bintan,['Pemandangan & Tengara (16)']
Kelenteng Sun Te Kong - Bintan,['Pemandangan & Tengara (16)']
Pura suranadi - Bintan,['Pemandangan & Tengara (16)']
Vihara Ksitigarbha Bodhisatvva - Bintan,['Pemandangan & Tengara (16)']
Gedung Gonggong - Bintan,['Pemandangan & Tengara (16)']
Pulau Basing - Bintan,"['Pemandangan & Tengara (16)', 'Wisata Alam & Taman (9)']"
Kampung Wisata Panglong - Bintan,['Pemandangan & Tengara (16)']
Spa Angsana Bintan - Bintan,['Spa & Kebugaran (11)']
D'Bintan Salon Day Spa - Bintan,['Spa & Kebugaran (11)']
Aroma River Spa - Bintan,['Spa & Kebugaran (11)']
Club Med Bintan Spa by Asmaralifestyle - Bintan,['Spa & Kebugaran (11)']
Banyan Tree Spa Bintan - Bintan,['Spa & Kebugaran (11)']
Anindya Spa - Bintan,['Spa & Kebugaran (11)']
Bintan Paradise Spa - Bintan,['Spa & Kebugaran (11)']
Jepun Sari Spa - Bintan,['Spa & Kebugaran (11)']
Martha Tilaar - Bintan,['Spa & Kebugaran (11)']
Mollinda Spa - Bintan,['Spa & Kebugaran (11)']
Aura Spa - Bintan,['Spa & Kebugaran (11)']
Pulau Penyengat - Bintan,"['Wisata Alam & Taman (9)', 'Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']"
White Sands Island - Bintan,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']"
Marine Life Discovery Park - Bintan,"['Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']"
Gunung Bintan - Bintan,"['Wisata Alam & Taman (9)', 'Berjiwa petualang (2)']"
Lagoi Bay Lantern Park - Bintan,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']"
Taman Kota Kijang - Bintan,['Wisata Alam & Taman (9)']
Dope Club - Bintan,['Hiburan malam (6)']
Millenium Pub & Karaoke - Bintan,['Hiburan malam (6)']
Bagio Karaoke Keluarga - Bintan,['Hiburan malam (6)']
The Terrace - Bintan,['Hiburan malam (6)']
Cafe Tempo Bintan - Bintan,['Hiburan malam (6)']
Pusat Kuliner Akau Potong Lembu - Bintan,['Tempat Belanja (4)']
Tanjungpinang City Center - Bintan,"['Tempat Belanja (4)', 'Cocok untuk Anak-Anak (14)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']"
Pasar Oleh Oleh - Bintan,['Tempat Belanja (4)']
Plaza Lagoi - Bintan,"['Tempat Belanja (4)', 'Masuk Gratis (12)']"
Areca Water Park - Bintan,['Taman Air & Taman Hiburan (1)']
Klub Pantai Nirwana - Bintan,"['Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']"
Library at Trikora - Bintan,"['Sumber Informasi Wisatawan (1)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']"
Good Boy Team - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)']"
Bali Driver Seeminyak - Tur Harian - Seminyak,['Tur (204)']
Bali Local Host - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Hire Bali Tour - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Adventure Scuba Diving Bali - Petualangan menyelam - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Bali Natural Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Galih Bali Tour - Seminyak,['Tur (204)']
Bali Style Surf Lesson - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Santai Surf School Bali - Kursus Selancar - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Bali Driver Recommendation - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
The Cheapest Travel Bali - Day Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)']"
Smile Bali Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Johnny Bali Tour -Tur Harian - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Bali Driver Private Tour - Tur Harian - Seminyak,"['Tur (204)', 'Tempat Belanja (74)']"
Seminyak Tour Driver Bali - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Private Bali Transport - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Transportasi (45)']"
Mano Tour Guide Bali - Seminyak,['Tur (204)']
Bali Bliss Tour - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Rio Bali Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)']"
Bali Honest Driver - Seminyak,['Tur (204)']
Bali A1 Driver - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Sarin Melali Tour - Seminyak,['Tur (204)']
Gede Bali Driver - Seminyak,['Tur (204)']
Bali Made Tour - Tur Harian - Seminyak,['Tur (204)']
Bali Trekking Tour - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Citra Bali Activities - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Bali Food Safari Seminyak Tour - Seminyak,"['Tur (204)', 'Makanan & Minuman (23)']"
Stunning Bali Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Motor Adventure Bali - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)']"
Mayor Bali Tours - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Zanti The Retreat - Seminyak,['Spa & Kebugaran (164)']
Terapung Float Club Seminyak - Seminyak,['Spa & Kebugaran (164)']
Bali Barber & Spa - Seminyak,['Spa & Kebugaran (164)']
The Spa & Wellness Studio at The Amala - Seminyak,['Spa & Kebugaran (164)']
Spa di Samaya - Seminyak,['Spa & Kebugaran (164)']
Putri Ubud Spa - Seminyak,['Spa & Kebugaran (164)']
JazB Beauty Space - Seminyak,['Spa & Kebugaran (164)']
The Care Day Spa - Seminyak,['Spa & Kebugaran (164)']
De Nyuh Spa - Seminyak,['Spa & Kebugaran (164)']
Therapy - Seminyak,['Spa & Kebugaran (164)']
Sundari Day Spa - Seminyak,['Spa & Kebugaran (164)']
Bali Gift Spa - Seminyak,['Spa & Kebugaran (164)']
Spa Lagoon Seminyak - Seminyak,['Spa & Kebugaran (164)']
TSL The Shampoo Lounge - Seminyak,['Spa & Kebugaran (164)']
Chil Reflexology - Pijat Refleksi - Seminyak,['Spa & Kebugaran (164)']
Spa Prana - Seminyak,['Spa & Kebugaran (164)']
Jari Menari - Seminyak,['Spa & Kebugaran (164)']
Spring Spa Seminyak Village - Seminyak,['Spa & Kebugaran (164)']
Eco Bali Spa - Seminyak,['Spa & Kebugaran (164)']
Spring Spa Bali - Seminyak,['Spa & Kebugaran (164)']
Re Day Spa - Seminyak,['Spa & Kebugaran (164)']
Aspya Massage Beauty Hair - Seminyak,['Spa & Kebugaran (164)']
Kimberly Spa - Seminyak,['Spa & Kebugaran (164)']
Spa Bali Seminyak - Seminyak,['Spa & Kebugaran (164)']
The Spa at Blu-Zea Resort - Seminyak,['Spa & Kebugaran (164)']
Spa Bali Drupadi - Seminyak,['Spa & Kebugaran (164)']
Zema Healing - Seminyak,['Spa & Kebugaran (164)']
Glo Day Spa & Salon Seminyak - Seminyak,['Spa & Kebugaran (164)']
Anggita spa - Seminyak,['Spa & Kebugaran (164)']
Montigo Spa Seminyak - Seminyak,['Spa & Kebugaran (164)']
Agung Bali Driver Seminyak - Day Tours - Seminyak,['Aktivitas Luar Ruangan (140)']
KoiBali Tour - Seminyak,"['Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Private Bali Tours - Tur Harian - Seminyak,['Aktivitas Luar Ruangan (140)']
Mount Batur Sunrise Trekking - Seminyak,['Aktivitas Luar Ruangan (140)']
KIMA Surfari - Seminyak,"['Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
Pantai Double Six - Seminyak,"['Aktivitas Luar Ruangan (140)', 'Wisata Alam & Taman (4)', 'Cocok untuk Pasangan (153)', 'Harga terjangkau (96)', 'Lokasi bulan madu (72)', 'Cocok untuk Anak-Anak (61)', 'Cocok untuk Kelompok Besar (61)', 'Masuk Gratis (38)']"
Nautilus Diving Bali - Seminyak,"['Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)']"
JOz Bali - Seminyak,['Aktivitas Luar Ruangan (140)']
Pantai Seminyak - Seminyak,"['Aktivitas Luar Ruangan (140)', 'Wisata Alam & Taman (4)', 'Cocok untuk Pasangan (153)', 'Harga terjangkau (96)', 'Lokasi bulan madu (72)', 'Cocok untuk Anak-Anak (61)', 'Cocok untuk Kelompok Besar (61)', 'Masuk Gratis (38)']"
Purpa Fine Art Gallery - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Cocok untuk Pasangan (153)', 'Masuk Gratis (38)', 'Tempat yang Belum Populer (12)']"
Nyaman Gallery - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Krakakoa Chocolate Factory & Store - Seminyak,['Tempat Belanja (74)']
Penjahit dan Toko kulit NIKKI COLLECTIONS - Seminyak,['Tempat Belanja (74)']
Olgabali Tailor - Seminyak,['Tempat Belanja (74)']
Toko Emporium - Seminyak,['Tempat Belanja (74)']
Lemona Leather and Tailor - Seminyak,['Tempat Belanja (74)']
Kim Soo - Seminyak,['Tempat Belanja (74)']
Feather & Find - Seminyak,['Tempat Belanja (74)']
Bali Driver Holiday - Day Tours - Seminyak,"['Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)']"
Brahmana Bali Tour - Seminyak,['Tempat Belanja (74)']
Galeri Positive Negative Visual - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Seminyak Village - Seminyak,"['Tempat Belanja (74)', 'Bagus Saat Hujan (162)', 'Cocok untuk Anak-Anak (61)', 'Masuk Gratis (38)']"
Nacivet Art Gallery - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Reservoart - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Tirta Bali Driver - Day Tour - Seminyak,"['Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)']"
Cosebelle - Seminyak,['Tempat Belanja (74)']
BikeBoss BaliBikeTours - Seminyak,"['Tempat Belanja (74)', 'Hiburan malam (25)']"
Karmen & Marius - Seminyak,"['Tempat Belanja (74)', 'Hiburan malam (25)']"
Nyaman Boutique - Seminyak,['Tempat Belanja (74)']
Divine Diva Shop - Seminyak,['Tempat Belanja (74)']
Folkart Gallery Bali - Seminyak,"['Tempat Belanja (74)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Palm Lagoon - Seminyak,['Tempat Belanja (74)']
Panji Bali Driver Reliable - Tur Harian - Seminyak,['Tempat Belanja (74)']
Makassi - Seminyak,['Tempat Belanja (74)']
Saya Gallery - Seminyak,"['Tempat Belanja (74)', 'Museum (11)', 'Bagus Saat Hujan (162)', 'Masuk Gratis (38)']"
Seminyak Square - Seminyak,"['Tempat Belanja (74)', 'Masuk Gratis (38)']"
Bali Mate - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)']"
Day Trip Bali - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)']"
Dungky Bali Tour - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Double D Surf School - Kursus berselancar - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Wira Bali Tour & Transport Services - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Makanan & Minuman (23)']"
Trip Bali Holidays - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)', 'Makanan & Minuman (23)']"
Bali ATV Kuber Adventure - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Bali Batman Driver - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)']"
Saridewi Surf School - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Bali Fun Waves - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Egon Bali Tours - Seminyak,"['Tur dengan Perahu & Olahraga Air (73)', 'Makanan & Minuman (23)']"
Golden Sky Surfing - Seminyak,['Tur dengan Perahu & Olahraga Air (73)']
Parto Bali Driver - Seminyak,"['Transportasi (45)', 'Transportasi (45)']"
Just For Fun Bali Driver - Seminyak,['Transportasi (45)']
Bali Tour Driver and Transport - Seminyak,['Transportasi (45)']
Bali paradiso - Seminyak,"['Transportasi (45)', 'Hiburan malam (25)', 'Makanan & Minuman (23)']"
Mount Batur Trip - Seminyak,['Transportasi (45)']
WeGo Bali Tours - Seminyak,['Transportasi (45)']
Putu Ari Suta - Seminyak,['Transportasi (45)']
Personal Bali Driver - Seminyak,['Transportasi (45)']
Bali Ambra Tours - Seminyak,['Transportasi (45)']
MyBLI | Bali Concierge - Seminyak,"['Transportasi (45)', 'Kursus & Sanggar (26)', 'Hiburan malam (25)', 'Makanan & Minuman (23)', 'Hiburan & Permainan (10)']"
Cheapest Bali Package - Seminyak,['Transportasi (45)']
"Bali, by you - Seminyak",['Transportasi (45)']
Sri Bali Tours - Tur Harian - Seminyak,['Transportasi (45)']
Seminyak Private Driver - Seminyak,['Transportasi (45)']
Your Bali Experience - Seminyak,['Transportasi (45)']
Seminyak Taxi - Seminyak,['Transportasi (45)']
Bali Green Booking - Seminyak,['Transportasi (45)']
Private bali driver - Seminyak,['Transportasi (45)']
Bali Etnic Driver - Seminyak,['Transportasi (45)']
Trust My Tour - Seminyak,['Transportasi (45)']
Bali pvd - Seminyak,['Transportasi (45)']
Bali Day Tour and Travel - Seminyak,['Transportasi (45)']
Radius App - Seminyak,['Transportasi (45)']
Balinese Cooking Class at The Amala - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Kelas Masak Chef Dean - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Nia Cooking Class - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Villa Coco Cooking Classes - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Kompact Fitness Bali - Seminyak,['Kursus & Sanggar (26)']
Kin Vegan Cooking Class - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
NAS Surf Bali - Seminyak,['Kursus & Sanggar (26)']
Fit By Design Bali - Seminyak,['Kursus & Sanggar (26)']
Nyaman Artspace - Seminyak,['Kursus & Sanggar (26)']
nia seminyak balinese cooking class - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
F45 Seminyak - Seminyak,['Kursus & Sanggar (26)']
Surf School Bali - Seminyak,['Kursus & Sanggar (26)']
Mudara Spa - Seminyak,"['Kursus & Sanggar (26)', 'Hiburan & Permainan (10)']"
Capoeira Bali - Seminyak,['Kursus & Sanggar (26)']
Tribal Love & Soul - Seminyak,['Kursus & Sanggar (26)']
Terra Spa - Seminyak,['Kursus & Sanggar (26)']
Oasis Yoga Studio - Seminyak,['Kursus & Sanggar (26)']
Bali Mango Tree - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Jamko Lighting - Seminyak,"['Kursus & Sanggar (26)', 'Hiburan & Permainan (10)']"
Aan Junaidi - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Kendi Mas Indonesia - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)', 'Hiburan & Permainan (10)']"
Traveling Spoon - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Bali JOOi Pass - Seminyak,"['Kursus & Sanggar (26)', 'Hiburan malam (25)', 'Makanan & Minuman (23)', 'Hiburan & Permainan (10)']"
Gd Ay - Seminyak,"['Kursus & Sanggar (26)', 'Makanan & Minuman (23)']"
Mr. Surf - Seminyak,['Kursus & Sanggar (26)']
Bali Joe Bar - Seminyak,['Hiburan malam (25)']
The Late Bali - Seminyak,"['Hiburan malam (25)', 'Makanan & Minuman (23)']"
Barrio & Co - Seminyak,['Hiburan malam (25)']
Mixwell Bar - Seminyak,['Hiburan malam (25)']
Blow Bar Bali - Seminyak,['Hiburan malam (25)']
Sling Bar - Seminyak,['Hiburan malam (25)']
El Laguito Cigar Divan & Bar - Seminyak,['Hiburan malam (25)']
Jenja - Seminyak,['Hiburan malam (25)']
Bali Party Pub Crawl - Seminyak,['Hiburan malam (25)']
Paris Cat Jazz Club - Seminyak,"['Hiburan malam (25)', 'Konser & Pertunjukan (1)']"
Bahiana Salsa Bar - Seminyak,['Hiburan malam (25)']
Santai Shisha - Seminyak,['Hiburan malam (25)']
"""Shisha Temple"" Hookah Lounge - Seminyak",['Hiburan malam (25)']
Kayu Bar - Seminyak,['Hiburan malam (25)']
Bali Gay Pub Crawl - Seminyak,['Hiburan malam (25)']
Mal.Funk.Tion Bali - Seminyak,['Hiburan malam (25)']
Chaps Bar - Seminyak,['Hiburan malam (25)']
Putra Agung Wine Shop - Seminyak,"['Hiburan malam (25)', 'Makanan & Minuman (23)']"
TRAVLR Experiences - Seminyak,"['Hiburan malam (25)', 'Makanan & Minuman (23)']"
The Cellar - Seminyak,"['Hiburan malam (25)', 'Makanan & Minuman (23)']"
Ketut Sudiarsa - Seminyak,['Makanan & Minuman (23)']
Galeri Buddha - Seminyak,"['Museum (11)', 'Bagus Saat Hujan (162)']"
The Gallery - Seminyak,"['Museum (11)', 'Bagus Saat Hujan (162)']"
The Yellow Brick Road Gallery - Seminyak,"['Museum (11)', 'Museum (11)']"
Reservoart Galleries - Seminyak,['Museum (11)']
Totem Room Escape - Seminyak,['Hiburan & Permainan (10)']
SuperHuman Fitness Bali - Seminyak,['Hiburan & Permainan (10)']
Tilo Kids Club - Seminyak,['Hiburan & Permainan (10)']
Escape Room - Seminyak,['Hiburan & Permainan (10)']
Lollipop's Playland and Cafe - Seminyak,['Hiburan & Permainan (10)']
Pantai Kayu Aya - Seminyak,['Wisata Alam & Taman (4)']
Weda Bali Top Tour - Seminyak,['Wisata Alam & Taman (4)']
Eat Street - Seminyak,"['Pemandangan & Tengara (2)', 'Cocok untuk Pasangan (153)', 'Masuk Gratis (38)']"
St Michael's Protestant Church - Seminyak,['Pemandangan & Tengara (2)']
The Flea Market Seminyak - Seminyak,"['Harga terjangkau (96)', 'Masuk Gratis (38)']"
munduk wilderness - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Puri Bali Tour - Bali,['Tur (5.854)']
Fun Group Bali - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Good Boy Team - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)', 'Transportasi (1.247)']"
Mai Travelling Bali - Bali,['Tur (5.854)']
The Bali Driver Tour - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Hire Bali Driver - Bali,['Tur (5.854)']
Adventure Divers Bali - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)']"
Bali Driver Seeminyak - Tur Harian - Bali,['Tur (5.854)']
Abyss Dive Center Bali - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)']"
Tour Bali Driver - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Siren Diving Lembongan - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)']"
Bali Local Host - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Bali Trekking Exploration - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)']"
Dive Concepts - Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)']"
