,Country Name,Travel Destination,Location,Review Count
53,Russia,Novosibirsk,"Novosibirsky District, Rusia",33.838 ulasan dan opini
54,Russia,Chelyabinsk,"Chelyabinsk Oblast, Rusia",21.268 ulasan dan opini
55,Russia,Volgograd,"Volgograd Oblast, Rusia",25.881 ulasan dan opini
56,Russia,Krasnodar,"Krasnodar Krai, Rusia",43.562 ulasan dan opini
57,Russia,Tyumen,"Tyumen Oblast, Rusia",21.013 ulasan dan opini
58,Russia,Olginka,"Krasnodar Krai, Rusia",626 ulasan dan opini
59,Russia,Golubitskaya,"Temryuksky District, Rusia",788 ulasan dan opini
60,Russia,Suzdal,"Suzdalsky District, Rusia",20.519 ulasan dan opini
61,Russia,Saratov,"Saratov Oblast, Rusia",11.821 ulasan dan opini
62,Russia,Voronezh,"Voronezh Oblast, Rusia",24.845 ulasan dan opini
63,Russia,Essentuki,"Stavropol Krai, Rusia",6.439 ulasan dan opini
64,Russia,Leningrad Oblast,"Rusia Barat Laut, Rusia",28.862 ulasan dan opini
65,Russia,Republic of Altai,"Siberian District, Rusia",5.302 ulasan dan opini
66,Russia,Yarovoye,"Altai Krai, Rusia",415 ulasan dan opini
67,Russia,Dombay,"Karachay-Cherkess Republic, Rusia",2.252 ulasan dan opini
68,Russia,Tuapse,"Tuapsinsky District, Rusia",1.870 ulasan dan opini
69,Russia,Zheleznovodsk,"Stavropol Krai, Rusia",2.134 ulasan dan opini
70,Russia,Krasnodar Krai,"Southern District, Rusia",308.793 ulasan dan opini
71,Russia,Nebug,"Tuapsinsky District, Rusia",1.138 ulasan dan opini
72,Russia,Divnomorskoye,"Gelendzhiksky District, Rusia",1.209 ulasan dan opini
73,Russia,Kabardinka,"Gelendzhiksky District, Rusia",3.268 ulasan dan opini
74,Russia,Arkhipo-Osipovka,"Gelendzhiksky District, Rusia",736 ulasan dan opini
75,Russia,Vityazevo,"Anapsky District, Rusia",2.953 ulasan dan opini
76,Russia,Belokurikha,"Altai Krai, Rusia",3.352 ulasan dan opini
77,Russia,Svetlogorsk,"Svetlogorsky District, Rusia",7.936 ulasan dan opini
78,Russia,Chemal,"Chemalsky District, Rusia",909 ulasan dan opini
79,Russia,Khosta,"Khosta District, Rusia",2.617 ulasan dan opini
80,Russia,Krasnaya Polyana,"Adler District, Rusia",10.525 ulasan dan opini
81,Russia,Loo,"Lazarevskoye District, Rusia",1.445 ulasan dan opini
82,Russia,Esto-Sadok,"Adler District, Rusia",37.968 ulasan dan opini
83,Russia,Lazarevskoye District,"Sochi, Rusia",7.238 ulasan dan opini
84,Russia,Vologda,"Vologda Oblast, Rusia",9.466 ulasan dan opini
85,Russia,Sergiyev Posad,"Sergiyevo-Posadsky District, Rusia",8.946 ulasan dan opini
86,Russia,Cheboksary,"Chuvash Republic, Rusia",7.545 ulasan dan opini
87,Russia,Petropavlovsk-Kamchatsky,"Kamchatka Krai, Rusia",6.187 ulasan dan opini
88,Russia,Murmansk,"Murmansk Oblast, Rusia",10.856 ulasan dan opini
89,Russia,Astrakhan,"Astrakhan Oblast, Rusia",11.231 ulasan dan opini
90,Russia,Ulyanovsk,"Ulyanovsk Oblast, Rusia",8.834 ulasan dan opini
91,Russia,Nalchik,"Kabardino-Balkar Republic, Rusia",2.089 ulasan dan opini
92,Russia,Smolensk,"Smolensky District, Rusia",11.057 ulasan dan opini
93,Russia,Sortavala,"Republic of Karelia, Rusia",2.682 ulasan dan opini
94,Russia,Tomsk,"Tomsk Oblast, Rusia",11.128 ulasan dan opini
95,Russia,Abrau-Durso,"Novorossiysk, Rusia",2.539 ulasan dan opini
96,Russia,Penza,"Penza Oblast, Rusia",4.724 ulasan dan opini
97,Russia,Barnaul,"Altai Krai, Rusia",6.883 ulasan dan opini
98,Russia,Yoshkar-Ola,"Mari El Republic, Rusia",5.201 ulasan dan opini
99,Russia,Taganrog,"Rostov Oblast, Rusia",4.882 ulasan dan opini
100,Russia,Ulan-Ude,"Republic of Buryatia, Rusia",6.417 ulasan dan opini
101,Russia,Lipetsk,"Lipetsk Oblast, Rusia",5.763 ulasan dan opini
102,Russia,Kolomna,"Moscow Oblast, Rusia",10.668 ulasan dan opini
103,Russia,Kaluga,"Kaluga Oblast, Rusia",14.654 ulasan dan opini
104,Russia,Ivanovo,"Ivanovsky District, Rusia",8.015 ulasan dan opini
105,Russia,Domodedovo,"Domodedovo Urban Okrug, Rusia",2.715 ulasan dan opini
106,Russia,Solnechnogorsk,"Solnechnogorsky District, Rusia",542 ulasan dan opini
107,Russia,Mostovskoy,"Krasnodar Krai, Rusia",271 ulasan dan opini
108,Russia,Sheregesh,"Kemerovo Oblast, Rusia",2.063 ulasan dan opini
109,Russia,Greater Sochi,"Krasnodar Krai, Rusia",185.955 ulasan dan opini
110,Russia,Nizhny Novgorod Oblast,"Volga District, Rusia",68.353 ulasan dan opini
111,Russia,Pereslavl-Zalessky,"Yaroslavl Oblast, Rusia",11.197 ulasan dan opini
112,Russia,Orenburg,"Orenburg Oblast, Rusia",6.238 ulasan dan opini
113,Russia,Kirov,"Kirov Oblast, Rusia",7.085 ulasan dan opini
114,Russia,Khimki,"Moscow Oblast, Rusia",12.175 ulasan dan opini
115,Russia,Naberezhnye Chelny,"Republic of Tatarstan, Rusia",4.518 ulasan dan opini
116,Russia,Zvenigorod,"Moscow Oblast, Rusia",3.890 ulasan dan opini
117,Russia,Nalchik,"Kabardino-Balkar Republic, Rusia",2.089 ulasan dan opini
118,Russia,Kuchugury,"Temryuksky District, Rusia",391 ulasan dan opini
119,Russia,Tver Oblast,"Rusia Tengah, Rusia",23.895 ulasan dan opini
120,Russia,Yaroslavl Oblast,"Rusia Tengah, Rusia",79.466 ulasan dan opini
121,Russia,Biryuzovaya Katun,"Republic of Altai, Rusia",133 ulasan dan opini
122,Russia,Guamka,"Krasnodar Krai, Rusia",409 ulasan dan opini
123,Russia,Arshan,"Republic of Buryatia, Rusia",578 ulasan dan opini
124,Russia,Krym,"Rostov Oblast, Rusia",4 ulasan dan opini
125,Russia,Blagoveshchenskaya,"Anapsky District, Rusia",317 ulasan dan opini
126,Russia,Altai Krai,"Siberian District, Rusia",13.020 ulasan dan opini
127,Russia,Nizhny Novgorod Oblast,"Volga District, Rusia",68.353 ulasan dan opini
128,Russia,Sverdlovsk Oblast,"Urals District, Rusia",64.983 ulasan dan opini
129,Russia,Novosibirsk Oblast,"Siberian District, Rusia",35.750 ulasan dan opini
130,Russia,Dolzhanskaya,"Krasnodar Krai, Rusia",323 ulasan dan opini
131,Russia,Katun,"Altai Krai, Rusia",659 ulasan dan opini
132,Russia,Lermontovo,"Tuapsinsky District, Rusia",316 ulasan dan opini
133,Russia,Arkhyz,"Zelenchuksky District, Rusia",879 ulasan dan opini
134,Russia,Peterhof,"Petrodvortsovy District, Rusia",24.967 ulasan dan opini
135,Russia,Mineralnye Vody,"Mineralovodsky District, Rusia",960 ulasan dan opini
136,Russia,Sestroretsk,"Kurortny District, Rusia",2.049 ulasan dan opini
137,Russia,Repino,"Kurortny District, Rusia",2.407 ulasan dan opini
138,Russia,Chita,"Zabaykalsky Krai, Rusia",3.636 ulasan dan opini
139,Russia,Kamensk-Shakhtinsky,"Rostov Oblast, Rusia",502 ulasan dan opini
140,Russia,Volgodonsk,"Rostov Oblast, Rusia",520 ulasan dan opini
141,Russia,Kamensk-Uralsky,"Sverdlovsk Oblast, Rusia",486 ulasan dan opini
142,Russia,Miass,"Chelyabinsk Oblast, Rusia",1.193 ulasan dan opini
143,Russia,Derbent,"Republic of Dagestan, Rusia",651 ulasan dan opini
144,Russia,Chekhov,"Chekhovsky District, Rusia",1.583 ulasan dan opini
145,Russia,Tobolsk,"Tyumen Oblast, Rusia",2.469 ulasan dan opini
146,Russia,Uglich,"Yaroslavl Oblast, Rusia",5.882 ulasan dan opini
147,Russia,Murom,"Vladimir Oblast, Rusia",4.144 ulasan dan opini
148,Russia,Cherepovets,"Vologda Oblast, Rusia",3.224 ulasan dan opini
149,Russia,Novokuznetsk,"Kemerovo Oblast, Rusia",3.874 ulasan dan opini
150,Russia,Konakovo,"Konakovsky District, Rusia",848 ulasan dan opini
151,Russia,Grozny,"Chechnya, Rusia",1.699 ulasan dan opini
152,Russia,Oryol,"Oryol Oblast, Rusia",6.820 ulasan dan opini
153,Russia,Bryansk,"Bryansk Oblast, Rusia",5.524 ulasan dan opini
154,Russia,Yakutsk,"Sakha (Yakutia) Republic, Rusia",4.539 ulasan dan opini
155,Russia,Abakan,"Republic of Khakassia, Rusia",2.802 ulasan dan opini
156,Russia,Komsomolsk-on-Amur,"Khabarovsk Krai, Rusia",2.130 ulasan dan opini
157,Russia,Odintsovo,"Odintsovsky District, Rusia",2.729 ulasan dan opini
158,Russia,Shatura,"Moscow Oblast, Rusia",173 ulasan dan opini
159,Russia,Korolev,"Moscow Oblast, Rusia",2.926 ulasan dan opini
160,Russia,Kemerovo,"Kemerovo Oblast, Rusia",5.399 ulasan dan opini
161,Russia,Rostov,"Yaroslavl Oblast, Rusia",7.713 ulasan dan opini
162,Russia,Engels,"Saratov Oblast, Rusia",958 ulasan dan opini
163,Russia,Stavropol,"Stavropol Krai, Rusia",7.305 ulasan dan opini
164,Russia,Chita,"Zabaykalsky Krai, Rusia",3.636 ulasan dan opini
165,Russia,Nizhny Tagil,"Sverdlovsk Oblast, Rusia",1.448 ulasan dan opini
166,Russia,Kamensk-Shakhtinsky,"Rostov Oblast, Rusia",502 ulasan dan opini
167,Russia,Volgodonsk,"Rostov Oblast, Rusia",520 ulasan dan opini
168,Russia,Kamensk-Uralsky,"Sverdlovsk Oblast, Rusia",486 ulasan dan opini
169,Russia,Miass,"Chelyabinsk Oblast, Rusia",1.193 ulasan dan opini
170,Russia,Derbent,"Republic of Dagestan, Rusia",651 ulasan dan opini
171,Russia,Chekhov,"Chekhovsky District, Rusia",1.583 ulasan dan opini
172,Russia,Rybinsk,"Yaroslavl Oblast, Rusia",3.216 ulasan dan opini
173,Russia,Balashikha,"Balashikha Urban District, Rusia",2.415 ulasan dan opini
174,Russia,Republic of Khakassia,"Siberian District, Rusia",3.611 ulasan dan opini
175,Russia,Rostov Oblast,"Southern District, Rusia",45.450 ulasan dan opini
176,Russia,Republic of Adygea,"Southern District, Rusia",2.999 ulasan dan opini
177,Russia,Volgograd Oblast,"Southern District, Rusia",28.715 ulasan dan opini
178,Russia,Ivanovo Oblast,"Rusia Tengah, Rusia",13.705 ulasan dan opini
179,Russia,Kaluga Oblast,"Rusia Tengah, Rusia",27.214 ulasan dan opini
180,Russia,Ryazan Oblast,"Rusia Tengah, Rusia",17.899 ulasan dan opini
181,Russia,Vladimir Oblast,"Rusia Tengah, Rusia",52.432 ulasan dan opini
182,Russia,Tula Oblast,"Rusia Tengah, Rusia",25.494 ulasan dan opini
183,Russia,Volga District,Rusia,338.872 ulasan dan opini
184,Russia,Ostashkov,"Ostashkovsky District, Rusia",1.055 ulasan dan opini
185,Russia,Primorsky Krai,"Far Eastern District, Rusia",55.076 ulasan dan opini
186,Russia,Saratov Oblast,"Volga District, Rusia",14.271 ulasan dan opini
187,Russia,Omsk Oblast,"Siberian District, Rusia",13.355 ulasan dan opini
188,Russia,Krasnoyarsk Krai,"Siberian District, Rusia",26.558 ulasan dan opini
189,Russia,Perm Krai,"Volga District, Rusia",23.954 ulasan dan opini
190,Russia,Stavropol Krai,"North Caucasian District, Rusia",44.669 ulasan dan opini
191,Russia,Tyumen Oblast,"Urals District, Rusia",37.081 ulasan dan opini
192,Russia,Irkutsk Oblast,"Siberian District, Rusia",41.820 ulasan dan opini
193,Russia,Kemerovo Oblast,"Siberian District, Rusia",12.706 ulasan dan opini
194,Russia,Valday,"Novgorod Oblast, Rusia",1.518 ulasan dan opini
195,Russia,Arkhangelsk,"Arkhangelsk Oblast, Rusia",9.435 ulasan dan opini
196,Russia,Siberian District,Rusia,176.420 ulasan dan opini
197,Russia,Urals District,Rusia,136.264 ulasan dan opini
198,Russia,Blagoveshchensk,"Amur Oblast, Rusia",4.135 ulasan dan opini
199,Russia,Yuzhno-Sakhalinsk,"Sakhalin, Rusia",9.138 ulasan dan opini
200,Russia,Syktyvkar,"Komi Republic, Rusia",3.158 ulasan dan opini
201,Russia,Republic of Tatarstan,"Volga District, Rusia",102.611 ulasan dan opini
202,Russia,Bratsk,"Irkutsk Oblast, Rusia",943 ulasan dan opini
203,Russia,Paratunka,"Kamchatka Krai, Rusia",614 ulasan dan opini
204,Russia,Dorokhovo,"Ruzsky District, Rusia",1.030 ulasan dan opini
205,Russia,Chernoluchye,"Omsk Oblast, Rusia",113 ulasan dan opini
206,Russia,Gorno-Altaysk,"Republic of Altai, Rusia",1.007 ulasan dan opini
207,Russia,Balashikha,"Balashikha Urban District, Rusia",2.415 ulasan dan opini
208,Russia,Staraya Russa,"Novgorod Oblast, Rusia",1.075 ulasan dan opini
209,Russia,Obninsk,"Kaluga Oblast, Rusia",3.239 ulasan dan opini
210,Russia,Veliky Ustyug,"Vologda Oblast, Rusia",1.122 ulasan dan opini
211,Russia,Krasnoyarsk Krai,"Siberian District, Rusia",26.558 ulasan dan opini
212,Russia,Stavropol Krai,"North Caucasian District, Rusia",44.669 ulasan dan opini
213,Russia,Tyumen Oblast,"Urals District, Rusia",37.081 ulasan dan opini
214,Russia,Irkutsk Oblast,"Siberian District, Rusia",41.820 ulasan dan opini
215,Russia,Kemerovo Oblast,"Siberian District, Rusia",12.706 ulasan dan opini
216,Russia,Valday,"Novgorod Oblast, Rusia",1.518 ulasan dan opini
217,Russia,Omsk Oblast,"Siberian District, Rusia",13.355 ulasan dan opini
218,Russia,Rostov Oblast,"Southern District, Rusia",45.450 ulasan dan opini
219,Russia,Kaluga Oblast,"Rusia Tengah, Rusia",27.214 ulasan dan opini
220,Russia,Vladimir Oblast,"Rusia Tengah, Rusia",52.432 ulasan dan opini
221,Russia,Republic of Khakassia,"Siberian District, Rusia",3.611 ulasan dan opini
222,Russia,Mytishchi,"Mytishchinsky District, Rusia",3.583 ulasan dan opini
223,Russia,Saratov Oblast,"Volga District, Rusia",14.271 ulasan dan opini
224,Russia,Samara Oblast,"Volga District, Rusia",45.544 ulasan dan opini
225,Russia,Republic of Adygea,"Southern District, Rusia",2.999 ulasan dan opini
226,Russia,Volgograd Oblast,"Southern District, Rusia",28.715 ulasan dan opini
227,Russia,Ivanovo Oblast,"Rusia Tengah, Rusia",13.705 ulasan dan opini
228,Russia,Ryazan Oblast,"Rusia Tengah, Rusia",17.899 ulasan dan opini
229,Russia,Tula Oblast,"Rusia Tengah, Rusia",25.494 ulasan dan opini
230,Russia,Volga District,Rusia,338.872 ulasan dan opini
231,Russia,Rozhdestveno,"Istrinsky District, Rusia",564 ulasan dan opini
232,Russia,Paratunka,"Kamchatka Krai, Rusia",614 ulasan dan opini
233,Russia,Ust-Kachka,"Permsky District, Rusia",223 ulasan dan opini
234,Russia,Aya,"Altai Krai, Rusia",140 ulasan dan opini
235,Russia,Nizhneye Dzhemete,"Krasnodar Krai, Rusia",58 ulasan dan opini
236,Russia,Chebarkul,"Chelyabinsk Oblast, Rusia",288 ulasan dan opini
237,Russia,Sakhalin,"Sakhalin Oblast, Rusia",9.892 ulasan dan opini
238,Russia,Artybash,"Republic of Altai, Rusia",568 ulasan dan opini
239,Russia,Novomikhailovskiy,"Krasnodar Krai, Rusia",108 ulasan dan opini
240,Russia,Goryachinsk,"Republic of Buryatia, Rusia",77 ulasan dan opini
241,Russia,Vladikavkaz,"Republic of North Ossetia-Alania, Rusia",3.439 ulasan dan opini
242,Russia,Nizhnevartovsk,"Khanty-Mansi Autonomous Okrug-Yugra, Rusia",2.927 ulasan dan opini
243,Russia,Khanty-Mansiysk,"Khanty-Mansi Autonomous Okrug-Yugra, Rusia",2.671 ulasan dan opini
244,Russia,Yakornaya Shchel,"Lazarevskoye District, Rusia",69 ulasan dan opini
245,Russia,Pushkin,"Pushkinsky District, Rusia",17.465 ulasan dan opini
246,Russia,Surgut,"Surgutsky District, Rusia",5.430 ulasan dan opini
247,Russia,Terskol,"Elbrussky District, Rusia",1.683 ulasan dan opini
248,Russia,Uznezya,"Chemalsky District, Rusia",147 ulasan dan opini
249,Russia,Golovinka,"Lazarevskoye District, Rusia",160 ulasan dan opini
250,Russia,Magri,"Lazarevskoye District, Rusia",15 ulasan dan opini
251,Russia,Kudepsta,"Khosta District, Rusia",65 ulasan dan opini
252,Russia,Vardane,"Lazarevskoye District, Rusia",196 ulasan dan opini
253,Russia,Adler District,"Sochi, Rusia",94.655 ulasan dan opini
254,Russia,Andreyevka,"Khasansky District, Rusia",33 ulasan dan opini
255,Russia,Kamennomostsky,"Maykopsky District, Rusia",782 ulasan dan opini
256,Russia,Dakhovskaya,"Maykopsky District, Rusia",633 ulasan dan opini
257,Russia,Artyom,"Primorsky Krai, Rusia",937 ulasan dan opini
258,Russia,Zavodoukovsk,"Tyumen Oblast, Rusia",95 ulasan dan opini
259,Russia,Voronezh Oblast,"Rusia Tengah, Rusia",27.241 ulasan dan opini
260,Russia,North Caucasian District,Rusia,61.526 ulasan dan opini
261,Russia,Far Eastern District,Rusia,110.981 ulasan dan opini
262,Russia,Istrinsky District,"Moscow Oblast, Rusia",5.129 ulasan dan opini
263,Russia,Solnechnogorsky District,"Moscow Oblast, Rusia",2.912 ulasan dan opini
264,Russia,Yantarnyy,"Kaliningrad Oblast, Rusia",1.752 ulasan dan opini
265,Russia,Volzhsky,"Volgograd Oblast, Rusia",1.689 ulasan dan opini
266,Russia,Povedniki,"Moscow Oblast, Rusia",225 ulasan dan opini
267,Russia,Teberda,"Karachay-Cherkess Republic, Rusia",192 ulasan dan opini
268,Russia,Votrya,"Taldomsky District, Rusia",274 ulasan dan opini
269,Russia,Yaroslavskaya,"Krasnodar Krai, Rusia",103 ulasan dan opini
270,Russia,Sosnovyy Bor,"Vladimir Oblast, Rusia",124 ulasan dan opini
271,Russia,Priozersk,"Priozersky District, Rusia",1.094 ulasan dan opini
272,Russia,Pushkinskie Gory,"Pushkino-Gorsky District, Rusia",1.767 ulasan dan opini
273,Russia,Slavyanka,"Khasansky District, Rusia",161 ulasan dan opini
274,Russia,Khuzhir,"Olkhon Island, Rusia",1.863 ulasan dan opini
275,Russia,Republic of Dagestan,"North Caucasian District, Rusia",2.107 ulasan dan opini
276,Russia,Orenburg Oblast,"Volga District, Rusia",7.727 ulasan dan opini
277,Russia,Southern District,Rusia,400.544 ulasan dan opini
278,Russia,Kamchatka Krai,"Far Eastern District, Rusia",8.309 ulasan dan opini
279,Russia,Dubna,"Moscow Oblast, Rusia",1.744 ulasan dan opini
280,Russia,Elista,"Republic of Kalmykia, Rusia",2.223 ulasan dan opini
281,Russia,Chechnya,"North Caucasian District, Rusia",1.907 ulasan dan opini
282,Russia,Norilsk,"Krasnoyarsk Krai, Rusia",945 ulasan dan opini
283,Russia,Dmitrov,"Dmitrovsky District, Rusia",2.416 ulasan dan opini
284,Russia,Dolgoprudny,"Moscow Oblast, Rusia",1.673 ulasan dan opini
285,Russia,Myshkin,"Yaroslavl Oblast, Rusia",2.344 ulasan dan opini
286,Russia,Zelenograd,"Zelenogradsky Okrug, Rusia",2.280 ulasan dan opini
287,Russia,Ussuriysk,"Primorsky Krai, Rusia",1.529 ulasan dan opini
288,Russia,Podolsk,"Moscow Oblast, Rusia",2.509 ulasan dan opini
289,Russia,Gorodets,"Nizhny Novgorod Oblast, Rusia",774 ulasan dan opini
290,Russia,Elista,"Republic of Kalmykia, Rusia",2.223 ulasan dan opini
291,Russia,Zelenograd,"Zelenogradsky Okrug, Rusia",2.280 ulasan dan opini
292,Russia,Ussuriysk,"Primorsky Krai, Rusia",1.529 ulasan dan opini
293,Russia,Orenburg Oblast,"Volga District, Rusia",7.727 ulasan dan opini
294,Russia,Chechnya,"North Caucasian District, Rusia",1.907 ulasan dan opini
295,Russia,Southern District,Rusia,400.544 ulasan dan opini
296,Russia,Kamchatka Krai,"Far Eastern District, Rusia",8.309 ulasan dan opini
297,Russia,Norilsk,"Krasnoyarsk Krai, Rusia",945 ulasan dan opini
298,Russia,Dubna,"Moscow Oblast, Rusia",1.744 ulasan dan opini
299,Russia,Armavir,"Krasnodar Krai, Rusia",819 ulasan dan opini
300,Russia,Republic of Dagestan,"North Caucasian District, Rusia",2.107 ulasan dan opini
301,Russia,Pskov Oblast,"Rusia Barat Laut, Rusia",22.474 ulasan dan opini
302,Russia,Murmansk Oblast,"Rusia Barat Laut, Rusia",14.396 ulasan dan opini
303,Russia,Chuvash Republic,"Volga District, Rusia",7.984 ulasan dan opini
304,Russia,Lipetsk Oblast,"Rusia Tengah, Rusia",8.290 ulasan dan opini
305,Russia,Krinitsa,"Gelendzhiksky District, Rusia",79 ulasan dan opini
306,Russia,Dolgoprudny,"Moscow Oblast, Rusia",1.673 ulasan dan opini
307,Russia,Izberbash,"Republic of Dagestan, Rusia",26 ulasan dan opini
308,Russia,Drakino,"Serpukhovsky District, Rusia",701 ulasan dan opini
309,Russia,Penza Oblast,"Volga District, Rusia",5.149 ulasan dan opini
310,Russia,Kostrovo,"Istrinsky District, Rusia",1.192 ulasan dan opini
311,Russia,Trusovo,"Solnechnogorsky District, Rusia",262 ulasan dan opini
312,Russia,Veselovka,"Temryuksky District, Rusia",46 ulasan dan opini
313,Russia,Tulsky,"Republic of Adygea, Rusia",96 ulasan dan opini
314,Russia,Lunevo,"Kostroma Oblast, Rusia",606 ulasan dan opini
315,Russia,Pavlovka,"Republic of Bashkortostan, Rusia",118 ulasan dan opini
316,Russia,Gribovka,"Kaluga Oblast, Rusia",992 ulasan dan opini
317,Russia,Rzhev,"Rzhevsky District, Rusia",630 ulasan dan opini
318,Russia,Almetyevsk,"Republic of Tatarstan, Rusia",661 ulasan dan opini
319,Russia,Magadan,"Magadan Oblast, Rusia",1.590 ulasan dan opini
320,Russia,Angarsk,"Irkutsk Oblast, Rusia",1.329 ulasan dan opini
321,Russia,Stary Oskol,"Belgorod Oblast, Rusia",966 ulasan dan opini
322,Russia,Balakovo,"Saratov Oblast, Rusia",552 ulasan dan opini
323,Russia,Srednyaya Akhtuba,"Volgograd Oblast, Rusia",46 ulasan dan opini
324,Russia,Karagayskiy,"Chelyabinsk Oblast, Rusia",67 ulasan dan opini
325,Russia,Souzga,"Republic of Altai, Rusia",174 ulasan dan opini
326,Russia,Zyuratkul,"Chelyabinsk Oblast, Rusia",129 ulasan dan opini
327,Russia,Lipki,"Odintsovsky District, Rusia",165 ulasan dan opini
328,Russia,Cheposh,"Republic of Altai, Rusia",99 ulasan dan opini
329,Russia,Solotcha,"Ryazan Oblast, Rusia",356 ulasan dan opini
330,Russia,Baikal,"Irkutsk Oblast, Rusia",79 ulasan dan opini
331,Russia,Sterlitamak,"Republic of Bashkortostan, Rusia",1.025 ulasan dan opini
332,Russia,Slavyansk-na-Kubani,"Krasnodar Krai, Rusia",276 ulasan dan opini
333,Russia,Kushchevskaya,"Krasnodar Krai, Rusia",112 ulasan dan opini
334,Russia,Roshchino,"Leningrad Oblast, Rusia",387 ulasan dan opini
335,Russia,Dzerzhinsk,"Nizhny Novgorod Oblast, Rusia",1.151 ulasan dan opini
336,Russia,Gelendzhiksky District,"Krasnodar Krai, Rusia",25.826 ulasan dan opini
337,Russia,Vatutinki,"Moscow Oblast, Rusia",155 ulasan dan opini
