Travel Destination,Checking,Things to Do,Country Name,Location,Review Count
Samtskhe-Javakheti Region,Samtskhe-Javakheti Region,"['Pemandangan & Tengara (23)', 'Aktivitas Luar Ruangan (14)', 'Tur (12)', 'Wisata Alam & Taman (8)', 'Transportasi (5)', 'Makanan & Minuman (4)', 'Museum (4)', 'Tur dengan Perahu & Olahraga Air (3)', 'Hiburan malam (2)', 'Tempat Belanja (1)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (10)', 'Cocok untuk Kelompok Besar (10)', 'Cocok untuk Anak-Anak (7)', 'Cocok untuk Pasangan (5)', 'Masuk Gratis (5)', 'Lokasi bulan madu (3)', 'Bagus Saat Hujan (3)', 'Tempat yang Belum Populer (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']",Georgia,Georgia,7746
Mtskheta-Mtianeti Region,Mtskheta-Mtianeti Region,"['Tur (42)', 'Aktivitas Luar Ruangan (35)', 'Tur dengan Perahu & Olahraga Air (20)', 'Pemandangan & Tengara (19)', 'Wisata Alam & Taman (13)', 'Makanan & Minuman (12)', 'Transportasi (8)', 'Kursus & Sanggar (5)', 'Hiburan malam (4)', 'Tempat Belanja (4)', 'Spa & Kebugaran (2)', 'Museum (1)', 'Masuk Gratis (20)', 'Harga terjangkau (19)', 'Cocok untuk Kelompok Besar (18)', 'Cocok untuk Pasangan (13)', 'Cocok untuk Anak-Anak (13)', 'Cocok untuk Penggemar Aktivitas Ekstrem (11)', 'Lokasi bulan madu (8)', 'Bagus Saat Hujan (7)', 'Berjiwa petualang (5)', 'Tempat yang Belum Populer (1)']",Georgia,Georgia,17164
Kakheti Region,Kakheti Region,"['Makanan & Minuman (56)', 'Pemandangan & Tengara (28)', 'Tur (24)', 'Museum (13)', 'Aktivitas Luar Ruangan (12)', 'Transportasi (10)', 'Wisata Alam & Taman (9)', 'Hiburan malam (8)', 'Tempat Belanja (4)', 'Kursus & Sanggar (3)', 'Tur dengan Perahu & Olahraga Air (2)', 'Spa & Kebugaran (1)', 'Harga terjangkau (29)', 'Cocok untuk Kelompok Besar (28)', 'Cocok untuk Pasangan (24)', 'Bagus Saat Hujan (24)', 'Masuk Gratis (18)', 'Cocok untuk Anak-Anak (11)', 'Lokasi bulan madu (7)', 'Tempat yang Belum Populer (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Berjiwa petualang (2)']",Georgia,Georgia,11336
Racha-Lechkhumi and Kvemo Svaneti Region,Racha-Lechkhumi and Kvemo Svaneti Region,"['Makanan & Minuman (5)', 'Tur (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Kursus & Sanggar (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Transportasi (1)', 'Aktivitas Luar Ruangan (1)', 'Masuk Gratis (2)', 'Cocok untuk Kelompok Besar (1)']",Georgia,Georgia,211
Omalo,Omalo,"['Tur (3)', 'Transportasi (3)', 'Aktivitas Luar Ruangan (3)', 'Makanan & Minuman (1)', 'Wisata Alam & Taman (1)', 'Harga terjangkau (1)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']",Georgia,"Kakheti Region, Georgia",151
Napareuli,Napareuli,"['Makanan & Minuman (2)', 'Spa & Kebugaran (1)', 'Tur (1)', 'Museum (1)', 'Harga terjangkau (1)', 'Bagus Saat Hujan (1)']",Georgia,"Telavi, Georgia",801
Chakvi,Chakvi,['Wisata Alam & Taman (1)'],Georgia,"Adjara Region, Georgia",122
Zugdidi,Zugdidi,"['Pemandangan & Tengara (5)', 'Wisata Alam & Taman (4)', 'Museum (1)', 'Aktivitas Luar Ruangan (1)', 'Masuk Gratis (2)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Kelompok Besar (1)', 'Bagus Saat Hujan (1)']",Georgia,"Samegrelo-Zemo Svaneti Region, Georgia",720
Akhaltsikhe,Akhaltsikhe,"['Tur (3)', 'Pemandangan & Tengara (3)', 'Aktivitas Luar Ruangan (2)', 'Hiburan malam (1)', 'Harga terjangkau (2)', 'Cocok untuk Kelompok Besar (2)', 'Cocok untuk Pasangan (1)', 'Cocok untuk Anak-Anak (1)', 'Lokasi bulan madu (1)', 'Masuk Gratis (1)']",Georgia,"Samtskhe-Javakheti Region, Georgia",1373
Kvareli,Kvareli,"['Makanan & Minuman (9)', 'Museum (3)', 'Tur (2)', 'Hiburan malam (1)', 'Pemandangan & Tengara (1)', 'Wisata Alam & Taman (1)', 'Cocok untuk Kelompok Besar (8)', 'Bagus Saat Hujan (7)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Cocok untuk Anak-Anak (2)', 'Masuk Gratis (2)', 'Lokasi bulan madu (1)']",Georgia,"Kakheti Region, Georgia",1323
Anaklia,Anaklia,"['Pemandangan & Tengara (1)', 'Taman Air & Taman Hiburan (1)', 'Transportasi (1)', 'Harga terjangkau (1)', 'Masuk Gratis (1)']",Georgia,"Samegrelo-Zemo Svaneti Region, Georgia",125
Gonio,Gonio,"['Pemandangan & Tengara (1)', 'Wisata Alam & Taman (1)', 'Harga terjangkau (1)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)']",Georgia,"Adjara Region, Georgia",376
Bakuriani,Bakuriani,"['Aktivitas Luar Ruangan (5)', 'Wisata Alam & Taman (3)', 'Tur (2)', 'Tempat Belanja (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Transportasi (1)']",Georgia,"Samtskhe-Javakheti Region, Georgia",718
Mestia,Mestia,"['Aktivitas Luar Ruangan (16)', 'Tur (14)', 'Wisata Alam & Taman (4)', 'Pemandangan & Tengara (3)', 'Transportasi (3)', 'Museum (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Makanan & Minuman (1)', 'Cocok untuk Pasangan (6)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (3)', 'Berjiwa petualang (3)', 'Bagus Saat Hujan (2)']",Georgia,"Upper Svaneti, Georgia",4645
Lidzava,Lidzava,"['Wisata Alam & Taman (1)', 'Aktivitas Luar Ruangan (1)']",Georgia,"Abkhazia, Georgia",103
Telavi,Telavi,"['Makanan & Minuman (22)', 'Tur (12)', 'Hiburan malam (5)', 'Pemandangan & Tengara (5)', 'Transportasi (5)', 'Aktivitas Luar Ruangan (5)', 'Tempat Belanja (3)', 'Museum (3)', 'Kursus & Sanggar (2)', 'Spa & Kebugaran (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Wisata Alam & Taman (1)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Pasangan (5)', 'Masuk Gratis (5)', 'Bagus Saat Hujan (5)', 'Cocok untuk Anak-Anak (4)', 'Lokasi bulan madu (1)']",Georgia,"Kakheti Region, Georgia",3864
Signagi,Signagi,"['Pemandangan & Tengara (10)', 'Makanan & Minuman (4)', 'Hiburan malam (2)', 'Tur (2)', 'Museum (2)', 'Tur dengan Perahu & Olahraga Air (1)', 'Wisata Alam & Taman (1)', 'Transportasi (1)', 'Aktivitas Luar Ruangan (1)', 'Masuk Gratis (7)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Cocok untuk Anak-Anak (4)', 'Bagus Saat Hujan (4)', 'Cocok untuk Kelompok Besar (3)', 'Lokasi bulan madu (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)']",Georgia,"Kakheti Region, Georgia",4053
Stepantsminda,Stepantsminda,"['Tur (12)', 'Aktivitas Luar Ruangan (7)', 'Makanan & Minuman (5)', 'Transportasi (5)', 'Wisata Alam & Taman (4)', 'Hiburan malam (2)', 'Pemandangan & Tengara (2)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Harga terjangkau (7)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Masuk Gratis (5)', 'Cocok untuk Pasangan (3)', 'Cocok untuk Kelompok Besar (3)', 'Lokasi bulan madu (3)', 'Berjiwa petualang (2)', 'Cocok untuk Anak-Anak (1)', 'Tempat yang Belum Populer (1)', 'Bagus Saat Hujan (1)']",Georgia,"Mtskheta-Mtianeti Region, Georgia",7635
Gudauri,Gudauri,"['Aktivitas Luar Ruangan (23)', 'Tur (21)', 'Tur dengan Perahu & Olahraga Air (15)', 'Kursus & Sanggar (4)', 'Pemandangan & Tengara (3)', 'Wisata Alam & Taman (3)', 'Tempat Belanja (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Spa & Kebugaran (1)', 'Transportasi (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Pasangan (4)', 'Harga terjangkau (3)', 'Masuk Gratis (3)', 'Berjiwa petualang (2)', 'Lokasi bulan madu (1)', 'Bagus Saat Hujan (1)']",Georgia,"Mtskheta-Mtianeti Region, Georgia",4845
New Athos,New Athos,"['Pemandangan & Tengara (7)', 'Wisata Alam & Taman (4)', 'Spa & Kebugaran (1)', 'Museum (1)', 'Harga terjangkau (7)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (6)', 'Cocok untuk Kelompok Besar (4)', 'Bagus Saat Hujan (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Cocok untuk Pasangan (2)', 'Lokasi bulan madu (2)', 'Berjiwa petualang (2)', 'Tempat yang Belum Populer (1)']",Georgia,"Abkhazia, Georgia",2870
Kobuleti,Kobuleti,"['Aktivitas Luar Ruangan (4)', 'Wisata Alam & Taman (3)', 'Makanan & Minuman (2)', 'Tur (2)', 'Hiburan malam (1)', 'Tempat Belanja (1)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Transportasi (1)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Pasangan (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']",Georgia,"Adjara Region, Georgia",2187
Gagra,Gagra,"['Pemandangan & Tengara (15)', 'Wisata Alam & Taman (11)', 'Aktivitas Luar Ruangan (3)', 'Makanan & Minuman (2)', 'Spa & Kebugaran (2)', 'Hiburan malam (1)', 'Tempat Belanja (1)', 'Tur (1)', 'Taman Air & Taman Hiburan (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Masuk Gratis (11)', 'Harga terjangkau (10)', 'Cocok untuk Anak-Anak (8)', 'Cocok untuk Pasangan (5)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Lokasi bulan madu (3)', 'Berjiwa petualang (2)', 'Bagus Saat Hujan (1)']",Georgia,"Abkhazia, Georgia",5400
Sukhumi,Sukhumi,"['Pemandangan & Tengara (32)', 'Wisata Alam & Taman (4)', 'Tur (3)', 'Konser & Pertunjukan (3)', 'Aktivitas Luar Ruangan (3)', 'Tempat Belanja (1)', 'Makanan & Minuman (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Anak-Anak (11)', 'Masuk Gratis (8)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Kelompok Besar (1)', 'Lokasi bulan madu (1)', 'Bagus Saat Hujan (1)']",Georgia,"Abkhazia, Georgia",3328
Pitsunda,Pitsunda,"['Wisata Alam & Taman (4)', 'Pemandangan & Tengara (3)', 'Museum (2)', 'Kebun Binatang & Akuarium (1)', 'Aktivitas Luar Ruangan (1)', 'Cocok untuk Anak-Anak (4)', 'Masuk Gratis (4)', 'Cocok untuk Pasangan (2)', 'Harga terjangkau (2)', 'Cocok untuk Kelompok Besar (2)', 'Bagus Saat Hujan (1)']",Georgia,"Abkhazia, Georgia",1130
Borjomi,Borjomi,"['Tur (6)', 'Aktivitas Luar Ruangan (6)', 'Pemandangan & Tengara (5)', 'Transportasi (4)', 'Makanan & Minuman (3)', 'Wisata Alam & Taman (3)', 'Tur dengan Perahu & Olahraga Air (2)', 'Hiburan malam (1)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (6)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Pasangan (3)', 'Masuk Gratis (3)', 'Bagus Saat Hujan (3)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)']",Georgia,"Samtskhe-Javakheti Region, Georgia",4482
Kutaisi,Kutaisi,"['Tur (48)', 'Aktivitas Luar Ruangan (29)', 'Makanan & Minuman (26)', 'Transportasi (24)', 'Pemandangan & Tengara (17)', 'Hiburan malam (12)', 'Tempat Belanja (9)', 'Wisata Alam & Taman (8)', 'Tur dengan Perahu & Olahraga Air (6)', 'Kursus & Sanggar (4)', 'Museum (4)', 'Hiburan & Permainan (4)', 'Konser & Pertunjukan (3)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Lihat semua', 'Harga terjangkau (16)', 'Cocok untuk Pasangan (13)', 'Cocok untuk Kelompok Besar (13)', 'Cocok untuk Anak-Anak (12)', 'Masuk Gratis (11)', 'Bagus Saat Hujan (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Lokasi bulan madu (3)', 'Tempat yang Belum Populer (3)', 'Berjiwa petualang (2)']",Georgia,"Imereti Region, Georgia",10380
Georgia Selatan,Georgia Selatan,"['Pemandangan & Tengara (3)', 'Aktivitas Luar Ruangan (2)', 'Tur (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Wisata Alam & Taman (1)', 'Transportasi (1)', 'Masuk Gratis (4)', 'Cocok untuk Kelompok Besar (2)', 'Bagus Saat Hujan (2)']",Georgia,Antartika,310
Abkhazia,Abkhazia,"['Pemandangan & Tengara (77)', 'Wisata Alam & Taman (36)', 'Aktivitas Luar Ruangan (9)', 'Tur (5)', 'Makanan & Minuman (4)', 'Spa & Kebugaran (4)', 'Museum (4)', 'Konser & Pertunjukan (3)', 'Tempat Belanja (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Hiburan & Permainan (2)', 'Hiburan malam (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (32)', 'Masuk Gratis (30)', 'Harga terjangkau (26)', 'Cocok untuk Kelompok Besar (13)', 'Cocok untuk Pasangan (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (10)', 'Bagus Saat Hujan (8)', 'Lokasi bulan madu (6)', 'Berjiwa petualang (5)', 'Tempat yang Belum Populer (2)']",Georgia,Georgia,13723
Batumi,Batumi,"['Tur (46)', 'Aktivitas Luar Ruangan (35)', 'Pemandangan & Tengara (34)', 'Hiburan malam (31)', 'Makanan & Minuman (26)', 'Tempat Belanja (18)', 'Transportasi (18)', 'Museum (13)', 'Hiburan & Permainan (12)', 'Tur dengan Perahu & Olahraga Air (10)', 'Wisata Alam & Taman (7)', 'Kursus & Sanggar (6)', 'Kasino & Perjudian (5)', 'Konser & Pertunjukan (4)', 'Spa & Kebugaran (3)', 'Lihat semua', 'Harga terjangkau (36)', 'Cocok untuk Anak-Anak (33)', 'Masuk Gratis (31)', 'Cocok untuk Kelompok Besar (30)', 'Bagus Saat Hujan (24)', 'Cocok untuk Pasangan (23)', 'Lokasi bulan madu (13)', 'Tempat yang Belum Populer (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)']",Georgia,"Adjara Region, Georgia",47465
Tbilisi,Tbilisi,"['Tur (844)', 'Makanan & Minuman (490)', 'Aktivitas Luar Ruangan (418)', 'Transportasi (333)', 'Hiburan malam (170)', 'Tempat Belanja (151)', 'Kursus & Sanggar (112)', 'Tur dengan Perahu & Olahraga Air (105)', 'Pemandangan & Tengara (104)', 'Hiburan & Permainan (81)', 'Museum (46)', 'Spa & Kebugaran (29)', 'Wisata Alam & Taman (26)', 'Konser & Pertunjukan (18)', 'Kasino & Perjudian (7)', 'Lihat semua', 'Bagus Saat Hujan (143)', 'Cocok untuk Pasangan (140)', 'Cocok untuk Kelompok Besar (134)', 'Harga terjangkau (125)', 'Cocok untuk Anak-Anak (117)', 'Masuk Gratis (100)', 'Lokasi bulan madu (29)', 'Tempat yang Belum Populer (20)', 'Cocok untuk Penggemar Aktivitas Ekstrem (18)', 'Berjiwa petualang (10)']",Georgia,Georgia,152312
Dumfries and Galloway,Dumfries and Galloway,"['Pemandangan & Tengara (118)', 'Wisata Alam & Taman (82)', 'Aktivitas Luar Ruangan (63)', 'Tempat Belanja (54)', 'Museum (42)', 'Hiburan malam (30)', 'Tur (26)', 'Hiburan & Permainan (24)', 'Sumber Informasi Wisatawan (13)', 'Makanan & Minuman (10)', 'Spa & Kebugaran (10)', 'Kursus & Sanggar (10)', 'Konser & Pertunjukan (5)', 'Kebun Binatang & Akuarium (3)', 'Kasino & Perjudian (3)', 'Lihat semua', 'Harga terjangkau (134)', 'Masuk Gratis (125)', 'Bagus Saat Hujan (85)', 'Cocok untuk Anak-Anak (81)', 'Cocok untuk Pasangan (52)', 'Cocok untuk Kelompok Besar (48)', 'Tempat yang Belum Populer (46)', 'Berjiwa petualang (11)', 'Lokasi bulan madu (7)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)']",United Arab Emirates,"Skotlandia, Inggris Raya",136268
Shetland Islands,Shetland Islands,"['Pemandangan & Tengara (49)', 'Tur (27)', 'Aktivitas Luar Ruangan (26)', 'Wisata Alam & Taman (16)', 'Museum (11)', 'Tempat Belanja (10)', 'Tur dengan Perahu & Olahraga Air (7)', 'Hiburan malam (5)', 'Makanan & Minuman (5)', 'Transportasi (4)', 'Sumber Informasi Wisatawan (4)', 'Hiburan & Permainan (3)', 'Kursus & Sanggar (1)', 'Konser & Pertunjukan (1)', 'Harga terjangkau (37)', 'Bagus Saat Hujan (32)', 'Masuk Gratis (28)', 'Cocok untuk Anak-Anak (27)', 'Cocok untuk Pasangan (23)', 'Cocok untuk Kelompok Besar (15)', 'Tempat yang Belum Populer (11)', 'Berjiwa petualang (9)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Lokasi bulan madu (1)']",United Arab Emirates,"Skotlandia, Inggris Raya",18686
Troon,Troon,"['Aktivitas Luar Ruangan (7)', 'Wisata Alam & Taman (6)', 'Pemandangan & Tengara (4)', 'Hiburan malam (3)', 'Tempat Belanja (3)', 'Spa & Kebugaran (3)', 'Tur (3)', 'Hiburan & Permainan (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Konser & Pertunjukan (1)', 'Masuk Gratis (6)', 'Bagus Saat Hujan (5)', 'Cocok untuk Pasangan (3)', 'Harga terjangkau (2)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Kelompok Besar (1)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)']",United Arab Emirates,"Skotlandia, Inggris Raya",16246
Enfield,Enfield,"['Wisata Alam & Taman (9)', 'Spa & Kebugaran (7)', 'Hiburan malam (6)', 'Pemandangan & Tengara (4)', 'Tempat Belanja (3)', 'Hiburan & Permainan (3)', 'Tur (2)', 'Aktivitas Luar Ruangan (2)', 'Museum (1)', 'Konser & Pertunjukan (1)', 'Transportasi (1)', 'Cocok untuk Anak-Anak (11)', 'Harga terjangkau (9)', 'Masuk Gratis (8)', 'Bagus Saat Hujan (7)', 'Cocok untuk Pasangan (4)', 'Cocok untuk Kelompok Besar (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']",United Arab Emirates,"Inggris, Inggris Raya",14939
Porthmadog,Porthmadog,"['Tempat Belanja (11)', 'Pemandangan & Tengara (7)', 'Aktivitas Luar Ruangan (6)', 'Tur (5)', 'Wisata Alam & Taman (5)', 'Hiburan & Permainan (4)', 'Museum (3)', 'Tur dengan Perahu & Olahraga Air (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Konser & Pertunjukan (1)', 'Transportasi (1)', 'Cocok untuk Anak-Anak (10)', 'Bagus Saat Hujan (9)', 'Harga terjangkau (8)', 'Masuk Gratis (7)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Pasangan (4)', 'Lokasi bulan madu (2)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)']",United Arab Emirates,"Wales, Inggris Raya",19997
Pooley Bridge,Pooley Bridge,"['Aktivitas Luar Ruangan (5)', 'Tur (3)', 'Tur dengan Perahu & Olahraga Air (3)', 'Tempat Belanja (1)', 'Pemandangan & Tengara (1)', 'Wisata Alam & Taman (1)', 'Harga terjangkau (4)', 'Tempat yang Belum Populer (3)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Kelompok Besar (2)', 'Masuk Gratis (2)', 'Bagus Saat Hujan (1)']",United Arab Emirates,"Inggris, Inggris Raya",9538
