Spot / Vendor,Type,reviewers,link
Bintan Tour - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",9,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d16711068-Reviews-Bintan_Tour-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
Bintan Tour and Transportation - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",21,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8757894-Reviews-Bintan_Transportation_Day_Tours-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipel.html
Bintan Wake Park - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",8,https://www.tripadvisor.co.id/Attraction_Review-g297718-d8866735-Reviews-Bintan_Wake_Park-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provi.html
Dive in Bintan - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",6,https://www.tripadvisor.co.id/Attraction_Review-g303959-d16698920-Reviews-Dive_in_Bintan-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
Crystal Lagoon - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",11,https://www.tripadvisor.co.id/Attraction_Review-g297718-d11434944-Reviews-Crystal_Lagoon-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provin.html
Tasik Dvers Bintan - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",10,https://www.tripadvisor.co.id/Attraction_Review-g12119576-d8326858-Reviews-Tasik_Dvers_Bintan-Gunung_Kijang_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html
Rumah Bintan - Tur Harian - Bintan,['Tur (39)'],5,https://www.tripadvisor.co.id/Attraction_Review-g297718-d4308932-Reviews-Rumah_Bintan_Day_Tours-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands.html
Bintan Reno Tours - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",6,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12196349-Reviews-Bintan_Reno_Tours-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html
BRC Tours - Bintan,['Tur (39)'],7,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d6582038-Reviews-BRC_Tours-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provi.html
Sawah Ladang Bintan - Bintan,['Tur (39)'],8,https://www.tripadvisor.co.id/Attraction_Review-g297718-d2091065-Reviews-Sawah_Ladang_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
"The Ankhmahor, ANMON Bintan, Indonesia - Bintan","['Tur (39)', 'Aktivitas Luar Ruangan (30)']",2,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d17118057-Reviews-The_Ankhmahor_ANMON_Bintan_Indonesia-Lagoi_Bintan_Island_Bintan_Regency_Riau_Ar.html
Trans Bintan - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d16704875-Reviews-Trans_Bintan-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_I.html
Bintan Adventure - Bintan,"['Tur (39)', 'Transportasi (21)']",2,https://www.tripadvisor.co.id/Attraction_Review-g3485420-d12225158-Reviews-Bintan_Adventure-Tanjung_Uban_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ria.html
Bintan Wesata - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",4,https://www.tripadvisor.co.id/Attraction_Review-g297718-d9598268-Reviews-Bintan_Wesata-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Amazing Bintan Trips - Bintan,['Tur (39)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d15682450-Reviews-Amazing_Bintan_Trips-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelag.html
Welcome To Bintan - Day Tours - Bintan,['Tur (39)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297718-d8797402-Reviews-Welcome_To_Bintan_Day_Tours-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Is.html
Amanah Transporter Tour Planner 328 - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)']",3,https://www.tripadvisor.co.id/Attraction_Review-g303959-d17324076-Reviews-Amanah_Transporter_Tour_Planner_328-Tanjung_Pinang_Bintan_Island_Bintan_Regency_.html
Trip To Bintan - Bintan,['Tur (39)'],2,https://www.tripadvisor.co.id/Attraction_Review-g297718-d4545375-Reviews-Trip_To_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provinc.html
Bintan Cab - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)']",2,https://www.tripadvisor.co.id/Attraction_Review-g297718-d13999871-Reviews-Bintan_Cab-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Bintan Divers - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",3,https://www.tripadvisor.co.id/Attraction_Review-g3223519-d12202999-Reviews-Bintan_Divers-Telukbakau_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isl.html
Klub Golf Ria Bintan - Bintan,['Aktivitas Luar Ruangan (30)'],249,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d631781-Reviews-Ria_Bintan_Golf_Club-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isl.html
Pantai Trikora - Bintan,['Aktivitas Luar Ruangan (30)'],125,https://www.tripadvisor.co.id/Attraction_Review-g303959-d6598787-Reviews-Trikora_Beach-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_I.html
Klub Golf Bintan Lagoon Resort - Bintan,['Aktivitas Luar Ruangan (30)'],148,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d1936396-Reviews-Bintan_Lagoon_Resort_Golf_Club-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipela.html
Klub Golf Laguna Bintan - Bintan,['Aktivitas Luar Ruangan (30)'],45,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d4226286-Reviews-Laguna_Golf_Bintan-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html
Mini Zoo Kota Kijang - Bintan,"['Aktivitas Luar Ruangan (30)', 'Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']",3,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12162675-Reviews-Mini_Zoo_Kota_Kijang-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_.html
Bintan T3 - Bintan,"['Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d10686352-Reviews-Bintan_T3-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Langlang Laut Sakti - Bintan,"['Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d19458788-Reviews-Langlang_Laut_Sakti-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago.html
Vicka Liu - Bintan,"['Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']",0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17707957-Reviews-Vicka_Liu-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Amanah Transporter 328 - Bintan,"['Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']",0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17679625-Reviews-Amanah_Transporter_328-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Island.html
Warrior Fitclub - Bintan,"['Aktivitas Luar Ruangan (30)', 'Kursus & Sanggar (1)']",0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d12976562-Reviews-Warrior_Fitclub-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ria.html
Bintan Taxi - Bintan,['Transportasi (21)'],131,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12460101-Reviews-Bintan_Taxi-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Suria Septia Rent Car - Bintan,['Transportasi (21)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d21081909-Reviews-Suria_Septia_Rent_Car-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipela.html
Bintan Private Driver - Bintan,['Transportasi (21)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297718-d19120839-Reviews-Bintan_Private_Driver-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands.html
Fio Bintan Taxi - Bintan,['Transportasi (21)'],7,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17307187-Reviews-Fio_Bintan_Taxi-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provi.html
Taxi Service Bintan - Bintan,['Transportasi (21)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17321533-Reviews-Taxi_Service_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_P.html
Suriaseptia Rental Mobil Tanjung Pinang - Bintan,['Transportasi (21)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d21127193-Reviews-Suriaseptia_Rental_Mobil_Tanjung_Pinang-Tanjung_Pinang_Bintan_Island_Bintan_Rege.html
Travel Tours & Rent Cars Bintan - Bintan,['Transportasi (21)'],0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d19110319-Reviews-Travel_Tours_Rent_Cars_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
Transportasi Tanjung Pinang - Bintan,['Transportasi (21)'],0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d18929717-Reviews-Transportasi_Tanjung_Pinang-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Arc.html
Bintan Transport - Bintan,['Transportasi (21)'],0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17707031-Reviews-Bintan_Transport-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Prov.html
Taxi Bandara Bintan - Bintan,['Transportasi (21)'],0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17454267-Reviews-Taxi_Bandara_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_P.html
RG Travel - Bintan,['Transportasi (21)'],0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d16781664-Reviews-RG_Travel-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html
500 Lohan Temple - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']",96,https://www.tripadvisor.co.id/Attraction_Review-g297718-d8287692-Reviews-500_Lohan_Temple-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provi.html
Vihara Avalokitesvara Graha - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']",101,https://www.tripadvisor.co.id/Attraction_Review-g303959-d447071-Reviews-Vihara_Avalokitesvara_Graha-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archi.html
Gurun Pasir Bintan - Bintan,"['Pemandangan & Tengara (16)', 'Cocok untuk Pasangan (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Tempat yang Belum Populer (3)']",40,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12652994-Reviews-Bintan_Desert-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provinc.html
Gereja Katolik Kristus Raja - Bintan,['Pemandangan & Tengara (16)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d18979605-Reviews-Christ_the_King_s_Catholic_Church-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Ri.html
Grotto Santa Maria - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)', 'Tempat yang Belum Populer (3)']",26,https://www.tripadvisor.co.id/Attraction_Review-g12119576-d7186564-Reviews-Grotto_Santa_Maria_Santa_Maria_Cave-Gunung_Kijang_Bintan_Island_Bintan_Regency_.html
Wihara Pohon Banyan - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)']",55,https://www.tripadvisor.co.id/Attraction_Review-g303959-d450894-Reviews-Banyan_Tree_Temple-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ri.html
Jalan Utama - Bintan,"['Pemandangan & Tengara (16)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",32,https://www.tripadvisor.co.id/Attraction_Review-g303959-d447117-Reviews-Main_Street-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html
Bintan Eco Farm - Bintan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",33,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d11658416-Reviews-Bintan_Eco_Farm-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Island.html
Masjid Raya Sultan Riau - Bintan,['Pemandangan & Tengara (16)'],5,https://www.tripadvisor.co.id/Attraction_Review-g303959-d12542986-Reviews-Sultan_of_Riau_Grand_Mosque-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Arc.html
Kampung Nelayan Cina Senggarang - Bintan,['Pemandangan & Tengara (16)'],8,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12080007-Reviews-Senggarang_Chinese_Fishing_VIllage-Bintan_Island_Bintan_Regency_Riau_Archipelago.html
Kelenteng Sun Te Kong - Bintan,['Pemandangan & Tengara (16)'],6,https://www.tripadvisor.co.id/Attraction_Review-g303959-d12261745-Reviews-Sun_Te_Kong_Temple-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html
Pura suranadi - Bintan,['Pemandangan & Tengara (16)'],3,https://www.tripadvisor.co.id/Attraction_Review-g297718-d4748300-Reviews-Pura_suranadi-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Vihara Ksitigarbha Bodhisatvva - Bintan,['Pemandangan & Tengara (16)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d17653338-Reviews-Vihara_Ksitigarbha_Bodhisatvva-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_.html
Gedung Gonggong - Bintan,['Pemandangan & Tengara (16)'],3,https://www.tripadvisor.co.id/Attraction_Review-g303959-d13325942-Reviews-Gonggong_Building-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_R.html
Pulau Basing - Bintan,"['Pemandangan & Tengara (16)', 'Wisata Alam & Taman (9)']",3,https://www.tripadvisor.co.id/Attraction_Review-g303959-d12512043-Reviews-Basing_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html
Kampung Wisata Panglong - Bintan,['Pemandangan & Tengara (16)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12680663-Reviews-Panglong_Tourism_Village-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html
Spa Angsana Bintan - Bintan,['Spa & Kebugaran (11)'],59,https://www.tripadvisor.co.id/Attraction_Review-g297718-d3668171-Reviews-Angsana_Spa_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html
D'Bintan Salon Day Spa - Bintan,['Spa & Kebugaran (11)'],179,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d4435390-Reviews-D_Bintan_Salon_Day_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html
Aroma River Spa - Bintan,['Spa & Kebugaran (11)'],57,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d2460633-Reviews-Aroma_River_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands.html
Club Med Bintan Spa by Asmaralifestyle - Bintan,['Spa & Kebugaran (11)'],34,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8526860-Reviews-Club_Med_Bintan_Spa_by_Asmaralifestyle-Lagoi_Bintan_Island_Bintan_Regency_Riau_A.html
Banyan Tree Spa Bintan - Bintan,['Spa & Kebugaran (11)'],35,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d7186567-Reviews-Banyan_Tree_Spa_Bintan-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html
Anindya Spa - Bintan,['Spa & Kebugaran (11)'],37,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d11549275-Reviews-Anindya_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
Bintan Paradise Spa - Bintan,['Spa & Kebugaran (11)'],10,https://www.tripadvisor.co.id/Attraction_Review-g297718-d8822159-Reviews-Bintan_Paradise_Spa-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
Jepun Sari Spa - Bintan,['Spa & Kebugaran (11)'],1,https://www.tripadvisor.co.id/Attraction_Review-g303959-d12958447-Reviews-Jepun_Sari_Spa-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
Martha Tilaar - Bintan,['Spa & Kebugaran (11)'],2,https://www.tripadvisor.co.id/Attraction_Review-g297718-d5601837-Reviews-Martha_Tilaar-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Mollinda Spa - Bintan,['Spa & Kebugaran (11)'],12,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8787170-Reviews-Mollinda_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
Aura Spa - Bintan,['Spa & Kebugaran (11)'],0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d3279277-Reviews-Aura_Spa-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Pulau Penyengat - Bintan,"['Wisata Alam & Taman (9)', 'Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']",157,https://www.tripadvisor.co.id/Attraction_Review-g303959-d450900-Reviews-Penyengat_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
White Sands Island - Bintan,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",71,https://www.tripadvisor.co.id/Attraction_Review-g303959-d8837318-Reviews-White_Sands_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_R.html
Marine Life Discovery Park - Bintan,"['Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']",2,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d19758079-Reviews-Marine_Life_Discovery_Park-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html
Gunung Bintan - Bintan,"['Wisata Alam & Taman (9)', 'Berjiwa petualang (2)']",13,https://www.tripadvisor.co.id/Attraction_Review-g297718-d9454770-Reviews-Mount_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Lagoi Bay Lantern Park - Bintan,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",31,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d12226093-Reviews-Lagoi_Bay_Lantern_Park-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
Taman Kota Kijang - Bintan,['Wisata Alam & Taman (9)'],3,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12162672-Reviews-Kijang_City_Park-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Prov.html
Dope Club - Bintan,['Hiburan malam (6)'],7,https://www.tripadvisor.co.id/Attraction_Review-g303959-d3498267-Reviews-Dope_Club-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islan.html
Millenium Pub & Karaoke - Bintan,['Hiburan malam (6)'],0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d14790056-Reviews-Millenium_Pub_Karaoke-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipela.html
Bagio Karaoke Keluarga - Bintan,['Hiburan malam (6)'],0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d10201902-Reviews-Bagio_Karaoke_Keluarga-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipel.html
The Terrace - Bintan,['Hiburan malam (6)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8287688-Reviews-The_Terrace-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html
Cafe Tempo Bintan - Bintan,['Hiburan malam (6)'],0,https://www.tripadvisor.co.id/Attraction_Review-g297718-d3239662-Reviews-Cafe_Tempo_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Prov.html
Pusat Kuliner Akau Potong Lembu - Bintan,['Tempat Belanja (4)'],51,https://www.tripadvisor.co.id/Attraction_Review-g303959-d7248924-Reviews-Akau_Potong_Lembu_PSP_Street_Food-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Ria.html
Tanjungpinang City Center - Bintan,"['Tempat Belanja (4)', 'Cocok untuk Anak-Anak (14)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",28,https://www.tripadvisor.co.id/Attraction_Review-g303959-d11711733-Reviews-Tanjungpinang_City_Center-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archi.html
Pasar Oleh Oleh - Bintan,['Tempat Belanja (4)'],78,https://www.tripadvisor.co.id/Attraction_Review-g303959-d1643531-Reviews-Pasar_Oleh_Oleh-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html
Plaza Lagoi - Bintan,"['Tempat Belanja (4)', 'Masuk Gratis (12)']",246,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8317080-Reviews-Plaza_Lagoi-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html
Areca Water Park - Bintan,['Taman Air & Taman Hiburan (1)'],0,https://www.tripadvisor.co.id/Attraction_Review-g303959-d14202360-Reviews-Areca_Water_Park-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ri.html
Klub Pantai Nirwana - Bintan,"['Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']",192,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d2282500-Reviews-Nirwana_Beach_Club-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html
Library at Trikora - Bintan,"['Sumber Informasi Wisatawan (1)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",12,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12018014-Reviews-Library_at_Trikora-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html
Good Boy Team - Seminyak,"['Tur (204)', 'Aktivitas Luar Ruangan (140)', 'Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)']",99,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19042202-Reviews-Good_Boy_Team-Seminyak_Kuta_District_Bali.html
Bali Driver Seeminyak - Tur Harian - Seminyak,['Tur (204)'],2437,https://www.tripadvisor.co.id/Attraction_Review-g469404-d6556385-Reviews-Bali_Driver_Seminyak_Private_Day_Tours-Seminyak_Kuta_District_Bali.html
