Spot/Vendor,Travel Destination,Spot / Vendor Name,Type,Link,Review Count
Tasik Dvers Bintan - Bintan,Bintan,Tasik Dvers Bintan,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g12119576-d8326858-Reviews-Tasik_Dvers_Bintan-Gunung_Kijang_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html,10.0
Bintan Reno Tours - Bintan,Bintan,Bintan Reno Tours,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d12196349-Reviews-Bintan_Reno_Tours-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html,6.0
"The Ankhmahor, ANMON Bintan, Indonesia - Bintan",Bintan,"The Ankhmahor, ANMON Bintan, Indonesia",['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d17118057-Reviews-The_Ankhmahor_ANMON_Bintan_Indonesia-Lagoi_Bintan_Island_Bintan_Regency_Riau_Ar.html,2.0
Trans Bintan - Bintan,Bintan,Trans Bintan,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d16704875-Reviews-Trans_Bintan-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_I.html,1.0
Bintan Wesata - Bintan,Bintan,Bintan Wesata,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d9598268-Reviews-Bintan_Wesata-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,4.0
Amanah Transporter Tour Planner 328 - Bintan,Bintan,Amanah Transporter Tour Planner 328,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d17324076-Reviews-Amanah_Transporter_Tour_Planner_328-Tanjung_Pinang_Bintan_Island_Bintan_Regency_.html,3.0
Mini Zoo Kota Kijang - Bintan,Bintan,Mini Zoo Kota Kijang,"['Aktivitas Luar Ruangan (30)', 'Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']",https://www.tripadvisor.co.id/Attraction_Review-g297718-d12162675-Reviews-Mini_Zoo_Kota_Kijang-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_.html,3.0
Bintan Cab - Bintan,Bintan,Bintan Cab,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d13999871-Reviews-Bintan_Cab-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,2.0
Bintan Divers - Bintan,Bintan,Bintan Divers,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g3223519-d12202999-Reviews-Bintan_Divers-Telukbakau_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isl.html,3.0
Bintan T3 - Bintan,Bintan,Bintan T3,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d10686352-Reviews-Bintan_T3-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,0.0
Langlang Laut Sakti - Bintan,Bintan,Langlang Laut Sakti,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d19458788-Reviews-Langlang_Laut_Sakti-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago.html,0.0
Vicka Liu - Bintan,Bintan,Vicka Liu,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d17707957-Reviews-Vicka_Liu-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,0.0
Amanah Transporter 328 - Bintan,Bintan,Amanah Transporter 328,['Aktivitas Luar Ruangan (30)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d17679625-Reviews-Amanah_Transporter_328-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Island.html,0.0
Warrior Fitclub - Bintan,Bintan,Warrior Fitclub,"['Aktivitas Luar Ruangan (30)', 'Kursus & Sanggar (1)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d12976562-Reviews-Warrior_Fitclub-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ria.html,0.0
500 Lohan Temple - Bintan,Bintan,500 Lohan Temple,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']",https://www.tripadvisor.co.id/Attraction_Review-g297718-d8287692-Reviews-500_Lohan_Temple-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provi.html,96.0
Vihara Avalokitesvara Graha - Bintan,Bintan,Vihara Avalokitesvara Graha,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d447071-Reviews-Vihara_Avalokitesvara_Graha-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archi.html,101.0
Gurun Pasir Bintan - Bintan,Bintan,Gurun Pasir Bintan,"['Pemandangan & Tengara (16)', 'Cocok untuk Pasangan (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Tempat yang Belum Populer (3)']",https://www.tripadvisor.co.id/Attraction_Review-g297718-d12652994-Reviews-Bintan_Desert-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provinc.html,40.0
Gereja Katolik Kristus Raja - Bintan,Bintan,Gereja Katolik Kristus Raja,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d18979605-Reviews-Christ_the_King_s_Catholic_Church-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Ri.html,1.0
Grotto Santa Maria - Bintan,Bintan,Grotto Santa Maria,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)', 'Tempat yang Belum Populer (3)']",https://www.tripadvisor.co.id/Attraction_Review-g12119576-d7186564-Reviews-Grotto_Santa_Maria_Santa_Maria_Cave-Gunung_Kijang_Bintan_Island_Bintan_Regency_.html,26.0
Wihara Pohon Banyan - Bintan,Bintan,Wihara Pohon Banyan,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Masuk Gratis (12)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d450894-Reviews-Banyan_Tree_Temple-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ri.html,55.0
Jalan Utama - Bintan,Bintan,Jalan Utama,"['Pemandangan & Tengara (16)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d447117-Reviews-Main_Street-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html,32.0
Bintan Eco Farm - Bintan,Bintan,Bintan Eco Farm,"['Pemandangan & Tengara (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",https://www.tripadvisor.co.id/Attraction_Review-g1096248-d11658416-Reviews-Bintan_Eco_Farm-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Island.html,33.0
Masjid Raya Sultan Riau - Bintan,Bintan,Masjid Raya Sultan Riau,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d12542986-Reviews-Sultan_of_Riau_Grand_Mosque-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Arc.html,5.0
Kampung Nelayan Cina Senggarang - Bintan,Bintan,Kampung Nelayan Cina Senggarang,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d12080007-Reviews-Senggarang_Chinese_Fishing_VIllage-Bintan_Island_Bintan_Regency_Riau_Archipelago.html,8.0
Kelenteng Sun Te Kong - Bintan,Bintan,Kelenteng Sun Te Kong,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d12261745-Reviews-Sun_Te_Kong_Temple-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html,6.0
Pura suranadi - Bintan,Bintan,Pura suranadi,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d4748300-Reviews-Pura_suranadi-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,3.0
Vihara Ksitigarbha Bodhisatvva - Bintan,Bintan,Vihara Ksitigarbha Bodhisatvva,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d17653338-Reviews-Vihara_Ksitigarbha_Bodhisatvva-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_.html,1.0
Gedung Gonggong - Bintan,Bintan,Gedung Gonggong,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d13325942-Reviews-Gonggong_Building-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_R.html,3.0
Pulau Basing - Bintan,Bintan,Pulau Basing,"['Pemandangan & Tengara (16)', 'Wisata Alam & Taman (9)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d12512043-Reviews-Basing_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html,3.0
Kampung Wisata Panglong - Bintan,Bintan,Kampung Wisata Panglong,['Pemandangan & Tengara (16)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d12680663-Reviews-Panglong_Tourism_Village-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html,1.0
Spa Angsana Bintan - Bintan,Bintan,Spa Angsana Bintan,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d3668171-Reviews-Angsana_Spa_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html,59.0
D'Bintan Salon Day Spa - Bintan,Bintan,D'Bintan Salon Day Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d4435390-Reviews-D_Bintan_Salon_Day_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html,179.0
Aroma River Spa - Bintan,Bintan,Aroma River Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d2460633-Reviews-Aroma_River_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands.html,57.0
Club Med Bintan Spa by Asmaralifestyle - Bintan,Bintan,Club Med Bintan Spa by Asmaralifestyle,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8526860-Reviews-Club_Med_Bintan_Spa_by_Asmaralifestyle-Lagoi_Bintan_Island_Bintan_Regency_Riau_A.html,34.0
Banyan Tree Spa Bintan - Bintan,Bintan,Banyan Tree Spa Bintan,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d7186567-Reviews-Banyan_Tree_Spa_Bintan-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_.html,35.0
Anindya Spa - Bintan,Bintan,Anindya Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d11549275-Reviews-Anindya_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html,37.0
Bintan Paradise Spa - Bintan,Bintan,Bintan Paradise Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d8822159-Reviews-Bintan_Paradise_Spa-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html,10.0
Jepun Sari Spa - Bintan,Bintan,Jepun Sari Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d12958447-Reviews-Jepun_Sari_Spa-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html,1.0
Martha Tilaar - Bintan,Bintan,Martha Tilaar,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d5601837-Reviews-Martha_Tilaar-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,2.0
Mollinda Spa - Bintan,Bintan,Mollinda Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8787170-Reviews-Mollinda_Spa-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html,12.0
Aura Spa - Bintan,Bintan,Aura Spa,['Spa & Kebugaran (11)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d3279277-Reviews-Aura_Spa-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,0.0
Pulau Penyengat - Bintan,Bintan,Pulau Penyengat,"['Wisata Alam & Taman (9)', 'Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d450900-Reviews-Penyengat_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html,157.0
White Sands Island - Bintan,Bintan,White Sands Island,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d8837318-Reviews-White_Sands_Island-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_R.html,71.0
Marine Life Discovery Park - Bintan,Bintan,Marine Life Discovery Park,"['Wisata Alam & Taman (9)', 'Kebun Binatang & Akuarium (2)']",https://www.tripadvisor.co.id/Attraction_Review-g1096248-d19758079-Reviews-Marine_Life_Discovery_Park-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_.html,2.0
Gunung Bintan - Bintan,Bintan,Gunung Bintan,"['Wisata Alam & Taman (9)', 'Berjiwa petualang (2)']",https://www.tripadvisor.co.id/Attraction_Review-g297718-d9454770-Reviews-Mount_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html,13.0
Lagoi Bay Lantern Park - Bintan,Bintan,Lagoi Bay Lantern Park,"['Wisata Alam & Taman (9)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)']",https://www.tripadvisor.co.id/Attraction_Review-g1096248-d12226093-Reviews-Lagoi_Bay_Lantern_Park-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html,31.0
Taman Kota Kijang - Bintan,Bintan,Taman Kota Kijang,['Wisata Alam & Taman (9)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d12162672-Reviews-Kijang_City_Park-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Prov.html,3.0
Dope Club - Bintan,Bintan,Dope Club,['Hiburan malam (6)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d3498267-Reviews-Dope_Club-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islan.html,7.0
Millenium Pub & Karaoke - Bintan,Bintan,Millenium Pub & Karaoke,['Hiburan malam (6)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d14790056-Reviews-Millenium_Pub_Karaoke-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipela.html,0.0
Bagio Karaoke Keluarga - Bintan,Bintan,Bagio Karaoke Keluarga,['Hiburan malam (6)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d10201902-Reviews-Bagio_Karaoke_Keluarga-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipel.html,0.0
The Terrace - Bintan,Bintan,The Terrace,['Hiburan malam (6)'],https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8287688-Reviews-The_Terrace-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html,0.0
Cafe Tempo Bintan - Bintan,Bintan,Cafe Tempo Bintan,['Hiburan malam (6)'],https://www.tripadvisor.co.id/Attraction_Review-g297718-d3239662-Reviews-Cafe_Tempo_Bintan-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Prov.html,0.0
Pusat Kuliner Akau Potong Lembu - Bintan,Bintan,Pusat Kuliner Akau Potong Lembu,['Tempat Belanja (4)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d7248924-Reviews-Akau_Potong_Lembu_PSP_Street_Food-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Ria.html,51.0
Tanjungpinang City Center - Bintan,Bintan,Tanjungpinang City Center,"['Tempat Belanja (4)', 'Cocok untuk Anak-Anak (14)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",https://www.tripadvisor.co.id/Attraction_Review-g303959-d11711733-Reviews-Tanjungpinang_City_Center-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archi.html,28.0
Pasar Oleh Oleh - Bintan,Bintan,Pasar Oleh Oleh,['Tempat Belanja (4)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d1643531-Reviews-Pasar_Oleh_Oleh-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau.html,78.0
Plaza Lagoi - Bintan,Bintan,Plaza Lagoi,"['Tempat Belanja (4)', 'Masuk Gratis (12)']",https://www.tripadvisor.co.id/Attraction_Review-g1096248-d8317080-Reviews-Plaza_Lagoi-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html,246.0
Areca Water Park - Bintan,Bintan,Areca Water Park,['Taman Air & Taman Hiburan (1)'],https://www.tripadvisor.co.id/Attraction_Review-g303959-d14202360-Reviews-Areca_Water_Park-Tanjung_Pinang_Bintan_Island_Bintan_Regency_Riau_Archipelago_Ri.html,0.0
Klub Pantai Nirwana - Bintan,Bintan,Klub Pantai Nirwana,"['Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)']",https://www.tripadvisor.co.id/Attraction_Review-g1096248-d2282500-Reviews-Nirwana_Beach_Club-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isla.html,192.0
Library at Trikora - Bintan,Bintan,Library at Trikora,"['Masuk Gratis (12)', 'Bagus Saat Hujan (10)']",https://www.tripadvisor.co.id/Attraction_Review-g297718-d12018014-Reviews-Library_at_Trikora-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pr.html,12.0
Zanti The Retreat - Seminyak,Seminyak,Zanti The Retreat,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d7007356-Reviews-Zanti_The_Retreat-Seminyak_Kuta_District_Bali.html,308.0
Terapung Float Club Seminyak - Seminyak,Seminyak,Terapung Float Club Seminyak,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d16799565-Reviews-Terapung_Float_Club_Seminyak-Seminyak_Kuta_District_Bali.html,134.0
Bali Barber & Spa - Seminyak,Seminyak,Bali Barber & Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d7787946-Reviews-Bali_Barber_Spa-Seminyak_Kuta_District_Bali.html,699.0
The Spa & Wellness Studio at The Amala - Seminyak,Seminyak,The Spa & Wellness Studio at The Amala,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d7207107-Reviews-The_Spa_Wellness_Studio_at_The_Amala-Seminyak_Kuta_District_Bali.html,250.0
Spa di Samaya - Seminyak,Seminyak,Spa di Samaya,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d3308164-Reviews-Spa_at_The_Samaya_Seminyak-Seminyak_Kuta_District_Bali.html,183.0
Putri Ubud Spa - Seminyak,Seminyak,Putri Ubud Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d13117649-Reviews-Putri_Ubud_Spa-Seminyak_Kuta_District_Bali.html,116.0
JazB Beauty Space - Seminyak,Seminyak,JazB Beauty Space,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d2320628-Reviews-JazB_Beauty_Space-Seminyak_Kuta_District_Bali.html,852.0
The Care Day Spa - Seminyak,Seminyak,The Care Day Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d3435765-Reviews-The_Care_Day_Spa-Seminyak_Kuta_District_Bali.html,709.0
De Nyuh Spa - Seminyak,Seminyak,De Nyuh Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d3258069-Reviews-De_Nyuh_Spa-Seminyak_Kuta_District_Bali.html,583.0
Therapy - Seminyak,Seminyak,Therapy,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d10758688-Reviews-Therapy-Seminyak_Kuta_District_Bali.html,570.0
Sundari Day Spa - Seminyak,Seminyak,Sundari Day Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d2371022-Reviews-Sundari_Day_Spa-Seminyak_Kuta_District_Bali.html,2146.0
Bali Gift Spa - Seminyak,Seminyak,Bali Gift Spa,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d6522177-Reviews-BALI_gift_SPA-Seminyak_Kuta_District_Bali.html,366.0
Spa Lagoon Seminyak - Seminyak,Seminyak,Spa Lagoon Seminyak,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d3171756-Reviews-Lagoon_Spa_Seminyak-Seminyak_Kuta_District_Bali.html,574.0
TSL The Shampoo Lounge - Seminyak,Seminyak,TSL The Shampoo Lounge,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d6600988-Reviews-TSL_The_Shampoo_Lounge_Seminyak-Seminyak_Kuta_District_Bali.html,774.0
Chil Reflexology - Pijat Refleksi - Seminyak,Seminyak,Chil Reflexology - Pijat Refleksi,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d1977279-Reviews-Chill_Reflexology-Seminyak_Kuta_District_Bali.html,725.0
Spa Prana - Seminyak,Seminyak,Spa Prana,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d1752813-Reviews-Prana_Spa-Seminyak_Kuta_District_Bali.html,914.0
Jari Menari - Seminyak,Seminyak,Jari Menari,['Spa & Kebugaran (164)'],https://www.tripadvisor.co.id/Attraction_Review-g469404-d663717-Reviews-Jari_Menari-Seminyak_Kuta_District_Bali.html,850.0
